iter	Passed	Remaining
0	32	6486
1	60	6026
2	72	4750
3	85	4180
4	97	3797
5	108	3513
6	119	3298
7	130	3128
8	142	3019
9	154	2932
10	165	2838
11	175	2748
12	188	2705
13	198	2631
14	208	2577
15	219	2526
16	229	2467
17	239	2420
18	250	2388
19	260	2345
20	271	2314
21	284	2298
22	293	2261
23	303	2223
24	315	2211
25	325	2178
26	335	2148
27	345	2123
28	358	2112
29	370	2101
30	384	2095
31	396	2083
32	408	2068
33	420	2054
34	433	2043
35	443	2021
36	455	2005
37	469	1999
38	479	1978
39	489	1956
40	500	1940
41	512	1926
42	520	1901
43	530	1882
44	540	1861
45	552	1850
46	564	1838
47	577	1829
48	589	1816
49	599	1798
50	610	1782
51	622	1772
52	632	1753
53	643	1739
54	655	1727
55	667	1716
56	679	1704
57	690	1690
58	704	1682
59	715	1670
60	725	1654
61	735	1637
62	746	1623
63	758	1610
64	768	1596
65	778	1580
66	788	1564
67	800	1553
68	810	1538
69	821	1526
70	832	1512
71	843	1500
72	855	1487
73	865	1474
74	876	1461
75	888	1448
76	898	1435
77	910	1424
78	921	1411
79	933	1399
80	943	1386
81	954	1373
82	965	1360
83	975	1346
84	985	1333
85	995	1319
86	1007	1308
87	1019	1297
88	1030	1284
89	1040	1272
90	1052	1260
91	1063	1248
92	1076	1238
93	1087	1226
94	1098	1213
95	1108	1200
96	1120	1190
97	1131	1177
98	1142	1165
99	1155	1155
100	1168	1145
101	1182	1136
102	1195	1125
103	1206	1114
104	1219	1103
105	1231	1092
106	1242	1079
107	1254	1068
108	1267	1058
109	1279	1047
110	1290	1034
111	1304	1025
112	1318	1015
113	1328	1002
114	1342	992
115	1353	980
116	1364	968
117	1374	955
118	1386	943
119	1398	932
120	1410	921
121	1421	908
122	1431	895
123	1443	884
124	1452	871
125	1462	858
126	1472	846
127	1483	834
128	1497	824
129	1505	810
130	1515	798
131	1524	785
132	1538	774
133	1547	762
134	1557	750
135	1567	737
136	1577	725
137	1590	714
138	1600	702
139	1610	690
140	1619	677
141	1631	666
142	1642	654
143	1650	641
144	1659	629
145	1668	617
146	1677	604
147	1687	593
148	1700	581
149	1711	570
150	1722	558
151	1733	547
152	1745	536
153	1757	524
154	1766	512
155	1778	501
156	1790	490
157	1802	479
158	1811	467
159	1821	455
160	1830	443
161	1841	431
162	1854	421
163	1864	409
164	1875	397
165	1888	386
166	1897	374
167	1906	363
168	1917	351
169	1928	340
170	1939	328
171	1947	317
172	1958	305
173	1969	294
174	1982	283
175	1995	272
176	2008	260
177	2018	249
178	2031	238
179	2042	226
180	2056	215
181	2068	204
182	2081	193
183	2094	182
184	2104	170
185	2115	159
186	2129	148
187	2146	136
188	2156	125
189	2168	114
190	2180	102
191	2191	91
192	2204	79
193	2215	68
194	2227	57
195	2243	45
196	2254	34
197	2264	22
198	2276	11
199	2297	0
